x_OFF,transitions_OFF,KramerON_OFF,x_ON,transitions_ON,KramerON_ON
100.0,103,0.0,100.0,929,0.004652885483460266
20.0,135,0.0,20.0,1529,0.017639297205953842
10.0,183,9.259473598925901e-05,10.0,2356,0.054677191601657446
2.0,555,0.0028472881316697145,2.0,2590,0.5547119146276535
1.0,998,0.024676497141137527,1.0,1335,0.7757818468020093
0.3333333333333333,1274,0.17537442996365657,0.3333333333333333,647,0.8366397370309497
0.2,1131,0.3950091437301789,0.2,404,0.958587004328804
0.125,687,0.618000416676312,0.125,395,0.9515266557096229
0.1,671,0.6084168615014236,0.1,358,0.9200675941572721
0.06666666666666667,531,0.7220537512442418,0.06666666666666667,391,0.8996273061876432
0.05,445,0.7575175351281279,0.05,372,0.8992569272436862
0.04,507,0.7507118220329174,0.04,300,0.9368735387393227
0.03333333333333333,294,0.848422417185583,0.03333333333333333,296,0.9801847264982986
