Dpp1,Dxy,Mean CaMKII,Std CaMKII,is_bistable
-14.999999999999998,-14.999999999999998,0.0009722897423432182,0.031167480790753772,0
-14.301029995663981,-14.999999999999998,0.0027085214250989653,0.0519747337189958,0
-14.0,-14.999999999999998,0.007153274532953677,0.08590934076137,0
-13.30102999566398,-14.999999999999998,2.4962150149315923,2.2729061781503055,10
-12.999999999999998,-14.999999999999998,5.015764983679422,1.4085894638209873,0
-12.301029995663981,-14.999999999999998,5.669421487603306,0.9807299557346404,0
-14.999999999999998,-14.301029995663981,0.0007639419404125286,0.02762989959234785,0
-14.301029995663981,-14.301029995663981,0.0009028404750329884,0.030034779896988096,0
-14.0,-14.301029995663981,0.006180984790610459,0.08013128741152102,0
-13.30102999566398,-14.301029995663981,1.5577470657684562,2.0025288449573804,10
-12.999999999999998,-14.301029995663981,5.223209945135078,1.04025796445458,0
-12.301029995663981,-14.301029995663981,5.75838599902771,0.7215659189379638,0
-14.999999999999998,-14.0,0.0019445794846864365,0.04405601992556068,0
-14.301029995663981,-14.0,0.0011806375442739079,0.03434130956381556,0
-14.0,-14.0,0.009792346690742413,0.11044219015423908,0
-13.30102999566398,-14.0,2.315160775053823,2.1722562162949925,10
-12.999999999999998,-14.0,4.888117230363219,1.5516920055726322,0
-12.301029995663981,-14.0,5.717341482047364,0.9128422643472454,0
-14.999999999999998,-13.30102999566398,0.0011806375442739079,0.03434130956381556,0
-14.301029995663981,-13.30102999566398,0.0035419126328217238,0.06056831513609408,0
-14.0,-13.30102999566398,0.005139245780957011,0.0743633887478788,0
-13.30102999566398,-13.30102999566398,2.5167719980554204,2.121790117334654,10
-12.999999999999998,-13.30102999566398,5.138204041947358,1.2677678444574356,0
-12.301029995663981,-13.30102999566398,5.786512952288353,0.6165822668999038,0
-14.999999999999998,-12.999999999999998,0.001111188276963678,0.035340328381079755,0
-14.301029995663981,-12.999999999999998,0.0014584346135148275,0.038162923479629136,0
-14.0,-12.999999999999998,0.007361622334884367,0.09175620870461798,0
-13.30102999566398,-12.999999999999998,3.148274185707341,2.0275645052274838,10
-12.999999999999998,-12.999999999999998,5.178484616987291,1.0765045110819007,0
-12.301029995663981,-12.999999999999998,5.763664143343288,0.6824018256771743,0
-14.999999999999998,-12.301029995663981,0.0008333912077227585,0.028857486047949382,0
-14.301029995663981,-12.301029995663981,0.0036808111674421834,0.060560032224192595,0
-14.0,-12.301029995663981,0.007569970136815056,0.0958127635266349,0
-13.30102999566398,-12.301029995663981,2.739634696853948,2.207824461121295,10
-12.999999999999998,-12.301029995663981,5.191818876310855,1.1014076366302008,0
-12.301029995663981,-12.301029995663981,5.754288492256407,0.7341733213155948,0
-14.999999999999998,-11.999999999999998,0.00041669560386137927,0.020409578579425665,0
-14.301029995663981,-11.999999999999998,0.0008333912077227585,0.028857486047949382,0
-14.0,-11.999999999999998,0.0072227238002639076,0.10648145160720784,0
-13.30102999566398,-11.999999999999998,2.8347801930689633,2.1600101814201715,10
-12.999999999999998,-11.999999999999998,4.9949996527536635,1.5245283502971405,10
-12.301029995663981,-11.999999999999998,5.600319466629627,1.0852289176732421,0
-14.999999999999998,-11.30102999566398,0.0009028404750329884,0.030034779896988092,0
-14.301029995663981,-11.30102999566398,0.0024307243558580457,0.05330768137356775,0
-14.0,-11.30102999566398,0.006736578929092298,0.08833418148142898,0
-13.30102999566398,-11.30102999566398,2.2436974789915967,2.1840553154475617,10
-12.999999999999998,-11.30102999566398,5.239322175151052,1.079082191712476,0
-12.301029995663981,-11.30102999566398,5.7694978817973475,0.7596196742899505,0
