Dxy_70NM,mean_rise_time_70NM,std_rise_time_70NM,mean_start_time_70NM,std_start_time_70NM,Dxy_80NM,mean_rise_time_80NM,std_rise_time_80NM,mean_start_time_80NM,std_start_time_80NM,Dxy_90NM,mean_rise_time_90NM,std_rise_time_90NM,mean_start_time_90NM,std_start_time_90NM,Dxy_100NM,mean_rise_time_100NM,std_rise_time_100NM,mean_start_time_100NM,std_start_time_100NM,Dxy_120NM,mean_rise_time_120NM,std_rise_time_120NM,mean_start_time_120NM,std_start_time_120NM
0.0,,,4.698166666666667,0.5253485351015393,0.0,,,3.3784166666666664,1.2982675335748668,0.0,7.253660714285715,1.1198776170779297,1.3976666666666666,0.7850482921372762,0.0,6.974774603174603,1.258319045031081,1.2941388888888892,0.6576528239753222,0.0,6.120111869241869,1.170608843266605,0.5992361111111111,0.3456220391452218
1.0000000000000001e-20,,,4.719194444444446,0.2595765173589428,1.0000000000000001e-20,,,3.1134305555555555,1.3436569255018462,1.0000000000000001e-20,7.055165532879817,0.8589292569063308,1.243875,0.7182249798779482,1.0000000000000001e-20,7.4187142857142865,0.9044148607596028,1.3392361111111108,0.8397404038122455,1.0000000000000001e-20,6.114061780909148,1.260501508151212,0.6150972222222222,0.29524649378282103
1e-19,,,4.624638888888889,0.4829235739128301,1e-19,,,3.150888888888889,1.3292440636934204,1e-19,6.409687001887003,0.9477563522605408,1.1951666666666667,0.785104913568016,1e-19,6.437598971861473,1.3342363563858777,1.3911805555555556,0.7751203429812658,1e-19,6.123963840253315,1.2672801162603011,0.4907638888888889,0.277965566731889
1e-18,,,4.663736111111112,0.3993639616705203,1e-18,5.8551721340388,1.244662096542304,2.6294722222222218,1.1991337919849674,1e-18,5.38516554264449,1.5380438324649628,1.0279861111111108,0.5669276861737382,1e-18,5.471465096015097,1.5710770610846057,1.0288333333333337,0.5863467772657035,1e-18,4.165921484071483,1.2207458311140602,0.5052222222222221,0.21784911671687124
1e-17,4.309742857142857,1.0762731536299186,4.173916666666666,0.9921886655237636,1e-17,2.6582657342657336,0.6362353641362569,2.2733055555555555,1.1626161029901911,1e-17,2.049655555555556,0.6248695102297878,0.9402083333333332,0.4038460103996829,1e-17,2.055277777777777,0.5565550037707164,0.9195833333333332,0.4518442788337757,1e-17,1.7411666666666663,0.4952307075532612,0.5789861111111112,0.27931073915019744
1e-16,3.3333640211640208,0.7781385669984898,4.349916666666667,0.8715187321354388,1e-16,1.4671024087024087,0.26162593331283424,2.3984444444444444,1.063282509234702,1e-16,0.9592500000000002,0.2992753735748985,1.0901805555555557,0.6324541581433217,1e-16,1.0748611111111108,0.21755631986870624,0.8617083333333333,0.4348761422133411,1e-16,0.8677777777777778,0.23608624052020266,0.4736666666666666,0.17270411076909314
9.999999999999999e-16,2.7989383219954647,0.6873628351376064,4.324305555555556,0.9129909363436632,9.999999999999999e-16,1.4423915343915346,0.2741415242902827,2.630069444444445,1.2722300896621126,9.999999999999999e-16,0.9220694444444444,0.15190056178729655,0.9734027777777776,0.5796812953063833,9.999999999999999e-16,0.9562638888888888,0.24033229912899684,0.9525,0.580292125241489,9.999999999999999e-16,0.7338194444444445,0.2062788022350896,0.5245694444444444,0.3323633453400319
1e-14,3.0831717996289427,0.90634891743625,4.288708333333334,1.0177848009484454,1e-14,1.375950345950346,0.23569982938885425,1.7855277777777778,1.112467720089325,1e-14,0.8659722222222221,0.20149873441075455,0.9275416666666668,0.5319834608189211,1e-14,0.9097638888888888,0.1818964689717277,1.018388888888889,0.4896577098744655,1e-14,0.7087083333333334,0.15676289339435645,0.49125,0.3164104897025811
1e-13,2.963174242424242,0.5567550461641017,4.398916666666667,0.9418378814357634,1e-13,1.3696203703703702,0.2461525414156933,2.2558194444444446,1.2646594353664624,1e-13,0.8352083333333333,0.1964404964213318,0.8783750000000001,0.4039909199318045,1e-13,0.8814444444444444,0.1905783837961965,1.063972222222222,0.5482956413646803,1e-13,0.7429861111111111,0.16607239828991882,0.3933055555555556,0.17755393677123288
1e-12,3.660015375101089,0.5139220264231907,4.299791666666667,0.9340033861953514,1e-12,1.2973403701561594,0.2252195893628305,2.1439027777777784,0.9837563472390024,1e-12,0.8498749999999999,0.14618373182086328,0.98075,0.5614852651068404,1e-12,0.8772777777777778,0.15518446808815134,0.98025,0.6720622737854574,1e-12,0.7628611111111111,0.162694022346881,0.5505694444444444,0.2884107284132976
